Manufacturing Year,Brand,Model,Distance Driven,Fuel Type,Price
2022,Volkswagen,Volkswagen Taigun,54.5K km,petrol,12.53 Lakh
2016,Honda,Honda Jazz,66.5K km,petrol,4.26 Lakh
2021,Honda,Honda WR-V,116K km,diesel,6.83 Lakh
2012,Maruti,Maruti Alto K10,99K km,petrol,1.57 Lakh
2016,Hyundai,Hyundai Eon,63.5K km,petrol,2.70 Lakh
2021,Ford,Ford EcoSport,87.5K km,diesel,7.46 Lakh
2019,Hyundai,Hyundai Elite i20,42.5K km,petrol,6.20 Lakh
2021,Maruti,Maruti Baleno,89.5K km,petrol,6.81 Lakh
2023,Renault,Renault Kwid,8.5K km,petrol,5.24 Lakh
2015,Honda,Honda City,117.5K km,petrol,5.26 Lakh
2017,Maruti,Maruti Ciaz,97K km,petrol,5.38 Lakh
2019,Mahindra,Mahindra XUV 300,65K km,diesel,8.91 Lakh
2021,Honda,Honda WR-V,98K km,diesel,7.89 Lakh
2022,Maruti,Maruti Ignis,41K km,petrol,5.70 Lakh
2018,Maruti,Maruti Ignis,55K km,petrol,4.84 Lakh
2019,Maruti,Maruti Dzire,56K km,diesel,7.13 Lakh
2017,Maruti,Maruti Wagon R 1.0,77.5K km,petrol,3.51 Lakh
2015,Maruti,Maruti Swift,103K km,petrol,4.38 Lakh
2022,Skoda,Skoda Kushaq,51K km,petrol,11.71 Lakh
2018,Maruti,Maruti Celerio,53K km,petrol,4.42 Lakh
2022,Renault,Renault Kiger,44.5K km,petrol,8.04 Lakh
2015,Honda,Honda City,73K km,petrol,5.90 Lakh
2020,Hyundai,Hyundai i20,36.5K km,petrol,7.73 Lakh
2018,Honda,Honda City,53K km,petrol,6.89 Lakh
2013,Hyundai,Hyundai i10,69.5K km,petrol,2.64 Lakh
2016,Hyundai,Hyundai Elite i20,129.5K km,petrol,4.53 Lakh
2022,Volkswagen,Volkswagen Virtus,92K km,petrol,12.90 Lakh
2015,Hyundai,Hyundai Grand i10,72.5K km,petrol,3.60 Lakh
2017,Hyundai,Hyundai Creta,64K km,petrol,8.76 Lakh
2022,Maruti,Maruti S-Presso,42.5K km,petrol,4.05 Lakh
2021,MG,MG Hector,46K km,hybrid,11.78 Lakh
2013,Ford,Ford Figo,105K km,petrol,2.22 Lakh
2011,Maruti,Maruti Swift,101.5K km,petrol,2.49 Lakh
2022,Hyundai,Hyundai Venue,31.5K km,petrol,8.45 Lakh
2022,Maruti,Maruti Brezza,28.5K km,petrol,10.25 Lakh
2018,Maruti,Maruti Wagon R,36.5K km,petrol,3.69 Lakh
2023,Kia,Kia Carens,33.5K km,petrol,13.22 Lakh
2016,Hyundai,Hyundai Grand i10,76K km,petrol,3.80 Lakh
2021,Kia,Kia Sonet,109.5K km,diesel,7.78 Lakh
2022,Maruti,Maruti XL6,42.5K km,petrol,9.95 Lakh
2018,Maruti,Maruti Swift,90K km,diesel,5.93 Lakh
2017,Maruti,Maruti Alto K10,44K km,petrol,3.06 Lakh
2018,Hyundai,Hyundai Elite i20,73.5K km,petrol,5.74 Lakh
2022,Kia,Kia Sonet,46.5K km,petrol,9.60 Lakh
2017,Hyundai,Hyundai Xcent,74K km,petrol,4.53 Lakh
2020,Maruti,Maruti Alto 800,57.5K km,petrol,3.08 Lakh
2022,Honda,Honda City,68.5K km,petrol,10.58 Lakh
2019,Hyundai,Hyundai Elite i20,83K km,petrol,4.94 Lakh
2022,Maruti,Maruti Brezza,122.5K km,petrol,9.47 Lakh
2022,Maruti,Maruti Alto K10,16K km,petrol,4.26 Lakh
2018,Maruti,Maruti Ignis,51.5K km,petrol,4.71 Lakh
2013,Hyundai,Hyundai Grand i10,43.5K km,petrol,3.59 Lakh
2015,Tata,Tata Zest,83K km,petrol,3.72 Lakh
2015,Hyundai,Hyundai i20 Active,74K km,petrol,4.84 Lakh
2020,Skoda,Skoda Rapid,114K km,petrol,7.15 Lakh
2018,Maruti,Maruti Alto 800,70K km,petrol,2.57 Lakh
2022,Maruti,Maruti Ignis,24K km,petrol,5.18 Lakh
2013,Hyundai,Hyundai i10,47.5K km,petrol,2.86 Lakh
2011,Hyundai,Hyundai i10,33.5K km,petrol,2.51 Lakh
